symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-01-02 05:00:00+00:00,222.03,225.15,218.19,220.22,33956579.0,449631.0,221.283919
AMZN,2025-01-03 05:00:00+00:00,222.505,225.36,221.62,224.19,27515606.0,346976.0,223.791212
AMZN,2025-01-06 05:00:00+00:00,226.78,228.835,224.84,227.61,31849831.0,410686.0,227.133643
AMZN,2025-01-07 05:00:00+00:00,227.9,228.381,221.46,222.11,28084164.0,379570.0,223.408195
AMZN,2025-01-08 05:00:00+00:00,223.185,223.52,220.2,222.13,25033292.0,325539.0,222.044802
AMZN,2025-01-10 05:00:00+00:00,221.46,221.71,216.5,218.94,36811525.0,493840.0,218.826543
AMZN,2025-01-13 05:00:00+00:00,218.06,219.4,216.47,218.46,27262655.0,373519.0,218.146643
AMZN,2025-01-14 05:00:00+00:00,220.44,221.82,216.2,217.76,24711650.0,332022.0,218.60606
AMZN,2025-01-15 05:00:00+00:00,222.83,223.57,220.75,223.35,31291257.0,353985.0,222.700685
AMZN,2025-01-16 05:00:00+00:00,224.42,224.65,220.31,220.66,24757276.0,313323.0,222.00772
AMZN,2025-01-17 05:00:00+00:00,225.84,226.51,223.08,225.94,42370123.0,385914.0,225.484626
AMZN,2025-01-21 05:00:00+00:00,228.9,231.78,226.94,230.71,39951456.0,552447.0,230.172154
AMZN,2025-01-22 05:00:00+00:00,232.02,235.44,231.19,235.01,41448217.0,512233.0,234.171426
AMZN,2025-01-23 05:00:00+00:00,234.1,235.52,231.51,235.42,26404364.0,365153.0,234.218655
AMZN,2025-01-24 05:00:00+00:00,234.5,236.4,232.93,234.85,25890738.0,349378.0,234.52549
AMZN,2025-01-27 05:00:00+00:00,226.21,235.61,225.86,235.42,49428332.0,661486.0,232.222802
AMZN,2025-01-28 05:00:00+00:00,234.29,241.77,233.98,238.15,41587188.0,542344.0,238.630294
AMZN,2025-01-29 05:00:00+00:00,239.015,240.39,236.15,237.07,26091716.0,384889.0,237.567073
AMZN,2025-01-30 05:00:00+00:00,237.14,237.95,232.22,234.64,32020728.0,428122.0,235.039476
AMZN,2025-01-31 05:00:00+00:00,236.5,240.29,236.41,237.68,36162377.0,435388.0,238.347519
AMZN,2025-02-03 05:00:00+00:00,234.06,239.25,232.9,237.42,37247791.0,550988.0,236.627297
AMZN,2025-02-04 05:00:00+00:00,239.01,242.52,238.03,242.06,29606288.0,409569.0,241.308087
AMZN,2025-02-05 05:00:00+00:00,237.02,238.32,235.2,236.17,38832042.0,552144.0,236.523564
AMZN,2025-02-06 05:00:00+00:00,238.01,239.6599,236.01,238.83,60897095.0,803119.0,237.915242
AMZN,2025-02-07 05:00:00+00:00,232.5,234.81,228.06,229.15,77333757.0,938613.0,230.527763
AMZN,2025-02-10 05:00:00+00:00,230.545,233.92,229.2,233.14,35404988.0,472891.0,232.39873
AMZN,2025-02-11 05:00:00+00:00,231.92,233.44,230.13,232.76,23713726.0,329473.0,232.145288
AMZN,2025-02-12 05:00:00+00:00,230.46,231.18,228.16,228.93,32285249.0,400325.0,229.602567
AMZN,2025-02-13 05:00:00+00:00,228.85,230.42,227.52,230.37,31346512.0,408846.0,229.364917
AMZN,2025-02-14 05:00:00+00:00,229.2,229.89,227.23,228.68,27031084.0,375369.0,228.607574
AMZN,2025-02-18 05:00:00+00:00,228.82,229.3,223.72,226.65,42975133.0,600702.0,225.742963
AMZN,2025-02-19 05:00:00+00:00,225.52,226.83,223.71,226.63,28519384.0,390651.0,225.402144
AMZN,2025-02-20 05:00:00+00:00,224.775,225.13,221.81,222.88,30001665.0,447333.0,222.943826
AMZN,2025-02-21 05:00:00+00:00,223.28,223.31,214.74,216.58,55323850.0,774966.0,217.849631
AMZN,2025-02-24 05:00:00+00:00,217.45,217.715,212.42,212.71,42387585.0,586136.0,214.034222
AMZN,2025-02-25 05:00:00+00:00,211.63,213.34,204.16,212.8,58957977.0,800750.0,209.499445
AMZN,2025-02-26 05:00:00+00:00,214.94,218.16,213.09,214.35,39120603.0,508442.0,215.551451
AMZN,2025-02-27 05:00:00+00:00,218.35,219.97,208.37,208.74,40548571.0,558788.0,212.427556
AMZN,2025-02-28 05:00:00+00:00,208.65,212.62,206.99,212.28,51771737.0,540930.0,210.431642
AMZN,2025-03-03 05:00:00+00:00,213.352,214.01,202.55,205.02,42948447.0,666781.0,207.31573
AMZN,2025-03-04 05:00:00+00:00,200.11,206.8,197.432,203.8,60853084.0,872022.0,201.884773
AMZN,2025-03-05 05:00:00+00:00,204.8,209.98,203.26,208.36,38610085.0,514659.0,207.030393
AMZN,2025-03-06 05:00:00+00:00,204.4,205.77,198.3015,200.7,49863755.0,688561.0,201.456799
AMZN,2025-03-07 05:00:00+00:00,199.49,202.2653,192.53,199.25,59802821.0,785672.0,197.635333
AMZN,2025-03-10 04:00:00+00:00,195.6,196.73,190.85,194.54,62350926.0,902822.0,193.590705
AMZN,2025-03-11 04:00:00+00:00,193.9,200.18,193.4,196.59,54002880.0,668549.0,196.922487
AMZN,2025-03-12 04:00:00+00:00,200.72,201.52,195.29,198.89,43679284.0,573896.0,198.846808
AMZN,2025-03-13 04:00:00+00:00,198.165,198.8799,191.82,193.89,41270761.0,588538.0,194.288565
AMZN,2025-03-14 04:00:00+00:00,197.41,198.65,195.32,197.95,38096663.0,470644.0,197.577738
AMZN,2025-03-17 04:00:00+00:00,198.77,199.0,194.3247,195.74,47341752.0,568556.0,196.450127
AMZN,2025-03-18 04:00:00+00:00,192.52,194.0,189.38,192.82,40414867.0,554394.0,192.007307
AMZN,2025-03-19 04:00:00+00:00,193.38,195.965,191.96,195.54,39442878.0,445698.0,194.286263
AMZN,2025-03-20 04:00:00+00:00,193.07,199.32,192.3,194.95,38921113.0,455391.0,195.630605
AMZN,2025-03-21 04:00:00+00:00,192.9,196.99,192.52,196.21,60056917.0,394836.0,195.124132
AMZN,2025-03-24 04:00:00+00:00,200.0,203.64,199.95,203.26,41625365.0,515880.0,202.355738
AMZN,2025-03-25 04:00:00+00:00,203.595,206.21,203.22,205.71,31171161.0,402368.0,205.115516
AMZN,2025-03-26 04:00:00+00:00,205.835,206.01,199.925,201.13,32990973.0,450177.0,202.213722
AMZN,2025-03-27 04:00:00+00:00,200.89,203.79,199.2821,201.36,27317661.0,363321.0,201.881572
AMZN,2025-03-28 04:00:00+00:00,198.42,199.26,191.881,192.72,52548226.0,678645.0,193.907694
AMZN,2025-03-31 04:00:00+00:00,188.19,191.33,184.4,190.26,63547186.0,769856.0,188.178782
AMZN,2025-04-01 04:00:00+00:00,187.86,193.93,187.2,192.17,41267315.0,528168.0,191.466543
AMZN,2025-04-02 04:00:00+00:00,187.66,198.34,187.66,196.01,53679198.0,710850.0,194.765238
AMZN,2025-04-03 04:00:00+00:00,182.995,184.13,176.92,178.41,95553363.0,1447896.0,180.260821
AMZN,2025-04-04 04:00:00+00:00,167.145,178.1436,166.0,171.0,123158603.0,1529080.0,173.36404
AMZN,2025-04-07 04:00:00+00:00,162.0,183.4099,161.38,175.26,109327115.0,1420152.0,172.838167
AMZN,2025-04-08 04:00:00+00:00,185.23,185.9,168.57,170.66,87700953.0,1145882.0,176.512967
AMZN,2025-04-09 04:00:00+00:00,172.115,192.65,169.93,191.1,116782934.0,1310470.0,182.221995
AMZN,2025-04-10 04:00:00+00:00,185.44,186.8692,175.8518,181.22,68302045.0,925662.0,181.60916
AMZN,2025-04-11 04:00:00+00:00,179.93,185.86,178.0,184.87,50594339.0,638386.0,182.616072
AMZN,2025-04-14 04:00:00+00:00,186.84,187.44,179.23,182.12,48002540.0,656762.0,182.904143
AMZN,2025-04-15 04:00:00+00:00,181.41,182.35,177.9331,179.59,43641952.0,564759.0,180.090667
AMZN,2025-04-16 04:00:00+00:00,176.29,179.1046,171.41,174.33,51875316.0,685436.0,174.820645
AMZN,2025-04-17 04:00:00+00:00,176.0,176.21,172.0,172.61,44725895.0,527941.0,173.596096
AMZN,2025-04-21 04:00:00+00:00,169.6,169.6,165.285,167.32,48126111.0,726774.0,166.907184
AMZN,2025-04-22 04:00:00+00:00,169.845,176.78,169.35,173.18,56607200.0,617508.0,173.150423
AMZN,2025-04-23 04:00:00+00:00,183.45,187.38,180.19,180.6,63470149.0,732657.0,183.294331
AMZN,2025-04-24 04:00:00+00:00,180.915,186.74,180.18,186.54,43763196.0,516092.0,184.663547
AMZN,2025-04-25 04:00:00+00:00,187.62,189.94,185.49,188.99,36414330.0,489570.0,187.973379
AMZN,2025-04-28 04:00:00+00:00,190.105,190.22,184.885,187.7,33224732.0,452721.0,187.440527
