symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2020-01-02 05:00:00+00:00,294.06,294.58,291.0,291.49,2250899.0,35186.0,292.06137
COST,2020-01-03 05:00:00+00:00,290.05,292.9,289.33,291.73,2249472.0,30528.0,291.42094
COST,2020-01-06 05:00:00+00:00,290.55,292.07,288.62,291.81,2989321.0,28305.0,290.959891
COST,2020-01-07 05:00:00+00:00,291.32,291.69,289.279,291.35,2200602.0,31275.0,290.682283
COST,2020-01-08 05:00:00+00:00,290.99,295.48,290.5,294.69,2963285.0,34480.0,294.126249
COST,2020-01-09 05:00:00+00:00,298.55,301.96,297.71,299.42,3558429.0,44506.0,299.810588
COST,2020-01-10 05:00:00+00:00,300.0,300.27,296.66,297.24,2510090.0,27455.0,297.750526
COST,2020-01-13 05:00:00+00:00,296.92,300.6495,296.8,299.87,1994081.0,24341.0,299.264437
COST,2020-01-14 05:00:00+00:00,299.25,301.0,298.58,299.75,1688579.0,23455.0,299.937678
COST,2020-01-15 05:00:00+00:00,298.35,301.04,298.044,300.82,1865535.0,24979.0,300.464982
COST,2020-01-16 05:00:00+00:00,301.39,304.06,300.975,303.03,1936378.0,28053.0,303.042209
COST,2020-01-17 05:00:00+00:00,303.4,305.3,303.03,304.68,3140780.0,29853.0,304.390472
COST,2020-01-21 05:00:00+00:00,306.2,313.34,305.76,313.26,4063328.0,47893.0,312.030742
COST,2020-01-22 05:00:00+00:00,313.4,313.56,310.21,311.89,2487199.0,36351.0,311.982858
COST,2020-01-23 05:00:00+00:00,312.02,313.4,310.7307,312.88,1789950.0,23452.0,312.514076
COST,2020-01-24 05:00:00+00:00,314.02,314.28,309.1,310.51,2223321.0,35747.0,311.05963
COST,2020-01-27 05:00:00+00:00,306.15,311.77,305.65,309.45,2488752.0,31865.0,309.661626
COST,2020-01-28 05:00:00+00:00,310.51,311.71,309.1,310.85,1732621.0,22666.0,310.727991
COST,2020-01-29 05:00:00+00:00,310.86,311.97,309.385,309.58,1904848.0,23532.0,310.400618
COST,2020-01-30 05:00:00+00:00,308.84,309.64,306.665,309.47,1378358.0,24851.0,308.738819
COST,2020-01-31 05:00:00+00:00,308.55,309.18,304.56,305.52,2103247.0,36607.0,305.882411
COST,2020-02-03 05:00:00+00:00,307.0,308.58,301.67,302.0,3062035.0,42929.0,303.946177
COST,2020-02-04 05:00:00+00:00,304.57,305.9083,302.7622,304.9,2220165.0,34907.0,304.546078
COST,2020-02-05 05:00:00+00:00,307.0,309.59,305.4,308.95,1991241.0,32194.0,308.202381
COST,2020-02-06 05:00:00+00:00,309.35,311.8387,307.85,310.61,2246425.0,33062.0,310.333461
COST,2020-02-07 05:00:00+00:00,310.0,313.81,309.1248,313.63,2239509.0,30158.0,312.827342
COST,2020-02-10 05:00:00+00:00,313.76,316.9445,312.6,313.79,2614323.0,32872.0,314.14359
COST,2020-02-11 05:00:00+00:00,314.03,314.43,310.47,310.68,2402673.0,32794.0,311.350323
COST,2020-02-12 05:00:00+00:00,310.77,315.48,310.77,315.12,1583739.0,30562.0,313.769447
COST,2020-02-13 05:00:00+00:00,314.85,318.79,313.535,318.2,1600314.0,30350.0,317.016811
COST,2020-02-14 05:00:00+00:00,318.87,319.81,316.95,318.31,1293374.0,23557.0,318.163545
COST,2020-02-18 05:00:00+00:00,319.0,323.48,318.61,322.05,1723763.0,30321.0,321.840871
COST,2020-02-19 05:00:00+00:00,322.08,324.5294,321.73,323.02,1589487.0,25497.0,323.306855
COST,2020-02-20 05:00:00+00:00,322.32,325.07,321.01,324.08,1624298.0,28079.0,323.405894
COST,2020-02-21 05:00:00+00:00,322.56,325.26,321.03,321.95,3141019.0,28745.0,322.263173
COST,2020-02-24 05:00:00+00:00,315.5,320.0,313.26,313.62,2683687.0,45157.0,315.11212
COST,2020-02-25 05:00:00+00:00,315.0,316.565,304.4,304.87,3262432.0,54727.0,307.899629
COST,2020-02-26 05:00:00+00:00,307.55,311.3,304.68,305.69,2493544.0,50145.0,307.160259
COST,2020-02-27 05:00:00+00:00,301.98,305.0,293.0,293.13,4096487.0,73332.0,297.006428
COST,2020-02-28 05:00:00+00:00,285.25,287.335,271.28,281.14,7793434.0,154096.0,280.579279
COST,2020-03-02 05:00:00+00:00,294.44,309.51,291.377,309.14,8224253.0,125272.0,303.920075
COST,2020-03-03 05:00:00+00:00,309.14,314.165,301.03,302.73,5746406.0,89332.0,305.777394
COST,2020-03-04 05:00:00+00:00,308.29,320.97,305.0201,320.74,4650126.0,67140.0,315.61064
COST,2020-03-05 05:00:00+00:00,315.7701,324.51,313.2,315.76,6831390.0,102354.0,317.920763
COST,2020-03-06 05:00:00+00:00,312.14,317.49,302.75,311.28,6633574.0,100627.0,308.934253
COST,2020-03-09 04:00:00+00:00,295.73,310.33,293.0,301.98,5962102.0,93604.0,302.761026
COST,2020-03-10 04:00:00+00:00,307.97,309.73,294.42,309.4,4692809.0,81181.0,304.734983
COST,2020-03-11 04:00:00+00:00,300.86,307.79,294.19,297.43,4068229.0,67658.0,299.36129
COST,2020-03-12 04:00:00+00:00,280.44,295.625,276.34,279.85,8150358.0,135796.0,282.966901
COST,2020-03-13 04:00:00+00:00,288.83,303.245,278.27,302.27,6763388.0,114667.0,292.216928
COST,2020-03-16 04:00:00+00:00,281.83,299.53,279.51,283.18,6030713.0,101018.0,287.923508
COST,2020-03-17 04:00:00+00:00,289.0,307.19,286.3,306.99,7857668.0,123919.0,301.611582
COST,2020-03-18 04:00:00+00:00,298.0,318.0,296.0,307.5,7286625.0,116059.0,306.009207
COST,2020-03-19 04:00:00+00:00,310.41,313.8526,302.63,305.22,5934748.0,93840.0,307.822115
COST,2020-03-20 04:00:00+00:00,307.92,308.01,287.02,290.42,7913379.0,102264.0,296.804609
COST,2020-03-23 04:00:00+00:00,292.01,295.6721,278.4238,285.53,6287763.0,104091.0,286.09819
COST,2020-03-24 04:00:00+00:00,294.59,297.35,282.8305,284.94,7842919.0,109121.0,286.539766
COST,2020-03-25 04:00:00+00:00,284.21,290.7176,279.21,280.86,6135250.0,103897.0,283.632507
COST,2020-03-26 04:00:00+00:00,281.34,293.7297,280.86,292.3,5988848.0,91705.0,287.314474
COST,2020-03-27 04:00:00+00:00,287.13,293.49,283.33,284.33,4700919.0,69282.0,286.416028
COST,2020-03-30 04:00:00+00:00,287.49,291.68,285.84,291.12,5203104.0,59399.0,289.600503
COST,2020-03-31 04:00:00+00:00,287.42,291.52,284.0,285.13,7222690.0,73670.0,286.221993
COST,2020-04-01 04:00:00+00:00,282.36,288.8,280.9,286.78,4094513.0,65274.0,286.141927
COST,2020-04-02 04:00:00+00:00,284.38,292.78,282.82,291.48,3818444.0,54830.0,288.274375
COST,2020-04-03 04:00:00+00:00,289.1604,292.34,285.8,288.65,3020849.0,45045.0,288.22382
COST,2020-04-06 04:00:00+00:00,293.0,305.49,289.57,305.12,5911824.0,84651.0,301.309887
COST,2020-04-07 04:00:00+00:00,306.5,310.0,303.22,303.63,4407107.0,71220.0,306.347019
COST,2020-04-08 04:00:00+00:00,305.11,307.42,302.28,305.97,4288312.0,68230.0,305.244616
COST,2020-04-09 04:00:00+00:00,299.45,304.35,297.575,300.01,6858611.0,108611.0,300.146298
COST,2020-04-13 04:00:00+00:00,298.58,303.95,297.66,299.62,3765177.0,45369.0,299.447693
COST,2020-04-14 04:00:00+00:00,302.75,314.75,301.25,314.14,4807578.0,66048.0,310.900369
COST,2020-04-15 04:00:00+00:00,311.64,313.75,306.82,310.27,3299399.0,51562.0,310.496265
COST,2020-04-16 04:00:00+00:00,314.73,322.63,312.04,321.56,4283005.0,61103.0,318.548701
COST,2020-04-17 04:00:00+00:00,321.31,322.1344,314.02,317.92,4233350.0,61222.0,317.792899
COST,2020-04-20 04:00:00+00:00,317.95,318.38,311.53,312.08,3802418.0,45673.0,313.800518
COST,2020-04-21 04:00:00+00:00,311.14,311.89,299.345,301.33,4243185.0,68268.0,303.151926
COST,2020-04-22 04:00:00+00:00,304.0,311.13,302.04,309.42,3244247.0,45921.0,307.727252
COST,2020-04-23 04:00:00+00:00,307.0335,309.635,304.79,305.4,2828552.0,41363.0,306.950106
COST,2020-04-24 04:00:00+00:00,307.33,310.83,305.5117,310.55,2274216.0,34770.0,308.773965
COST,2020-04-27 04:00:00+00:00,313.05,313.29,307.59,308.78,2475758.0,39665.0,309.560321
COST,2020-04-28 04:00:00+00:00,310.825,311.27,304.28,304.95,2587333.0,44291.0,307.807205
COST,2020-04-29 04:00:00+00:00,304.95,308.6832,301.1206,307.09,4036737.0,61539.0,305.57991
COST,2020-04-30 04:00:00+00:00,306.15,307.895,302.57,303.0,4938044.0,46364.0,303.439958
COST,2020-05-01 04:00:00+00:00,301.77,304.8199,300.18,301.92,2900941.0,42050.0,302.590195
COST,2020-05-04 04:00:00+00:00,303.0,305.53,300.07,304.49,2793284.0,39899.0,303.258342
COST,2020-05-05 04:00:00+00:00,305.06,309.8,303.44,307.92,2638401.0,39356.0,307.605888
COST,2020-05-06 04:00:00+00:00,309.92,311.04,306.54,308.89,2563616.0,41862.0,309.242744
COST,2020-05-07 04:00:00+00:00,309.34,309.87,304.53,305.0,2796802.0,43472.0,306.830203
COST,2020-05-08 04:00:00+00:00,305.9,307.18,303.7,305.94,2542517.0,40291.0,305.456656
COST,2020-05-11 04:00:00+00:00,305.64,311.83,305.0,310.33,2016519.0,36130.0,309.857291
COST,2020-05-12 04:00:00+00:00,310.84,311.545,304.79,304.84,2456504.0,38898.0,307.596185
COST,2020-05-13 04:00:00+00:00,304.84,306.4,300.12,302.14,3176637.0,51508.0,302.928612
COST,2020-05-14 04:00:00+00:00,301.01,302.88,294.535,299.74,3934803.0,70461.0,298.590707
COST,2020-05-15 04:00:00+00:00,298.255,299.835,295.86,299.21,5790876.0,59140.0,298.4076
COST,2020-05-18 04:00:00+00:00,301.7206,303.19,299.92,302.76,4400953.0,54011.0,301.929046
COST,2020-05-19 04:00:00+00:00,304.62,309.025,303.15,304.63,3845177.0,51699.0,306.331558
COST,2020-05-20 04:00:00+00:00,306.77,307.918,303.2005,304.91,3044690.0,47741.0,304.753511
COST,2020-05-21 04:00:00+00:00,304.79,305.04,301.25,301.97,2666128.0,41371.0,302.39678
COST,2020-05-22 04:00:00+00:00,302.01,303.94,300.83,302.43,2629300.0,37668.0,302.540414
COST,2020-05-26 04:00:00+00:00,306.01,306.9,303.5278,304.8,3765576.0,49250.0,305.023567
COST,2020-05-27 04:00:00+00:00,304.56,306.31,299.47,306.01,3229062.0,60530.0,303.476531
