symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2020-01-02 05:00:00+00:00,158.78,160.73,158.33,160.62,25472631.0,175506.0,159.81551
MSFT,2020-01-03 05:00:00+00:00,158.32,159.945,158.06,158.62,24389239.0,166336.0,159.10112
MSFT,2020-01-06 05:00:00+00:00,157.08,159.1,156.51,159.03,24709110.0,148395.0,158.495004
MSFT,2020-01-07 05:00:00+00:00,159.32,159.67,157.32,157.58,24503429.0,167838.0,158.298227
MSFT,2020-01-08 05:00:00+00:00,158.93,160.8,157.9491,160.09,31748417.0,198632.0,159.714784
MSFT,2020-01-09 05:00:00+00:00,161.835,162.215,161.03,162.09,24361921.0,160998.0,161.832327
MSFT,2020-01-10 05:00:00+00:00,162.8235,163.22,161.18,161.34,23798446.0,159877.0,162.041281
MSFT,2020-01-13 05:00:00+00:00,161.76,163.31,161.26,163.28,24847712.0,155177.0,162.57394
MSFT,2020-01-14 05:00:00+00:00,163.25,163.6,161.72,162.13,26981914.0,176574.0,162.650807
MSFT,2020-01-15 05:00:00+00:00,162.62,163.94,162.57,163.18,24841810.0,167363.0,163.315334
MSFT,2020-01-16 05:00:00+00:00,164.35,166.24,164.03,166.17,27487281.0,169031.0,165.434137
MSFT,2020-01-17 05:00:00+00:00,167.42,167.4675,165.43,167.1,41888741.0,201218.0,166.775259
MSFT,2020-01-21 05:00:00+00:00,166.68,168.19,166.43,166.5,34997135.0,179786.0,166.911439
MSFT,2020-01-22 05:00:00+00:00,167.4,167.49,165.68,165.7,27975808.0,181399.0,166.294083
MSFT,2020-01-23 05:00:00+00:00,166.19,166.8,165.27,166.72,23667201.0,134805.0,166.39697
MSFT,2020-01-24 05:00:00+00:00,167.51,167.53,164.45,165.04,28107439.0,198340.0,165.798164
MSFT,2020-01-27 05:00:00+00:00,161.15,163.375,160.2,162.28,38407009.0,238985.0,162.281079
MSFT,2020-01-28 05:00:00+00:00,163.78,165.755,163.073,165.46,27844564.0,172404.0,165.073251
MSFT,2020-01-29 05:00:00+00:00,167.84,168.75,165.69,168.04,38597746.0,279795.0,167.668481
MSFT,2020-01-30 05:00:00+00:00,174.05,174.05,170.79,172.78,55966784.0,408453.0,172.497038
MSFT,2020-01-31 05:00:00+00:00,172.21,172.4,169.58,170.23,40617594.0,289774.0,170.609368
MSFT,2020-02-03 05:00:00+00:00,170.43,174.5,170.4,174.38,34116143.0,220737.0,173.294813
MSFT,2020-02-04 05:00:00+00:00,177.14,180.64,176.31,180.12,40490760.0,270086.0,179.120122
MSFT,2020-02-05 05:00:00+00:00,184.03,184.2,178.4101,179.9,42986212.0,323398.0,180.439664
MSFT,2020-02-06 05:00:00+00:00,180.97,183.8199,180.059,183.63,31449197.0,230446.0,182.678881
MSFT,2020-02-07 05:00:00+00:00,182.845,185.63,182.48,183.89,36177462.0,244856.0,184.189265
MSFT,2020-02-10 05:00:00+00:00,183.58,188.84,183.25,188.7,39465199.0,260622.0,186.913465
MSFT,2020-02-11 05:00:00+00:00,190.65,190.7,183.5,184.44,55416559.0,476632.0,186.779003
MSFT,2020-02-12 05:00:00+00:00,185.58,185.85,181.85,184.71,52030505.0,378193.0,183.972006
MSFT,2020-02-13 05:00:00+00:00,183.08,186.23,182.872,183.71,37758824.0,292077.0,184.356336
MSFT,2020-02-14 05:00:00+00:00,183.25,185.41,182.65,185.35,26012019.0,180893.0,184.503507
MSFT,2020-02-18 05:00:00+00:00,185.605,187.7,184.34,187.23,30353395.0,235454.0,186.821992
MSFT,2020-02-19 05:00:00+00:00,188.06,188.18,186.47,187.28,36272890.0,192921.0,187.313864
MSFT,2020-02-20 05:00:00+00:00,186.95,187.25,181.1,184.42,40522434.0,309649.0,184.297179
MSFT,2020-02-21 05:00:00+00:00,183.17,183.5,177.25,178.59,54389126.0,408576.0,179.621735
MSFT,2020-02-24 05:00:00+00:00,167.77,174.55,163.23,170.89,75235571.0,621689.0,171.337685
MSFT,2020-02-25 05:00:00+00:00,174.2,174.84,167.6462,168.07,73686118.0,581407.0,170.319369
