symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHOP,2020-01-02 05:00:00+00:00,403.99,408.24,398.36,407.81,1426524.0,21478.0,404.741139
SHOP,2020-01-03 05:00:00+00:00,401.6,408.4028,397.0,404.29,1040079.0,17358.0,404.944385
SHOP,2020-01-06 05:00:00+00:00,398.59,413.5199,395.42,413.33,1698935.0,25160.0,409.050564
SHOP,2020-01-07 05:00:00+00:00,415.75,422.48,410.12,414.5,1585150.0,25302.0,416.620946
SHOP,2020-01-08 05:00:00+00:00,413.93,422.5447,411.86,418.1,1563829.0,22733.0,418.370264
SHOP,2020-01-09 05:00:00+00:00,424.0,431.71,421.79,430.2,1804062.0,27154.0,427.974837
SHOP,2020-01-10 05:00:00+00:00,432.49,438.56,427.67,429.17,1812586.0,26942.0,432.317924
SHOP,2020-01-13 05:00:00+00:00,434.99,446.745,433.75,440.25,2009783.0,32229.0,441.824123
SHOP,2020-01-14 05:00:00+00:00,442.77,445.92,430.5001,441.22,1523035.0,23843.0,438.056841
SHOP,2020-01-15 05:00:00+00:00,441.92,453.0,441.22,448.51,1640217.0,25938.0,448.983372
SHOP,2020-01-16 05:00:00+00:00,452.74,453.78,446.64,451.3,1487449.0,22510.0,449.99079
SHOP,2020-01-17 05:00:00+00:00,452.0,458.91,452.0,454.88,1888295.0,27109.0,454.990367
SHOP,2020-01-21 05:00:00+00:00,454.99,472.86,454.09,465.44,2158116.0,35135.0,466.022383
SHOP,2020-01-22 05:00:00+00:00,470.0,476.7856,463.17,464.76,2368902.0,38459.0,470.942764
SHOP,2020-01-23 05:00:00+00:00,464.0,473.0,460.0,469.25,2479093.0,35102.0,468.975393
SHOP,2020-01-24 05:00:00+00:00,474.0,476.51,457.83,465.48,2149715.0,35103.0,470.108966
SHOP,2020-01-27 05:00:00+00:00,447.01,459.8999,436.7401,451.11,2258972.0,39396.0,453.213355
SHOP,2020-01-28 05:00:00+00:00,453.5,468.67,451.1,467.66,1555707.0,26237.0,460.941241
SHOP,2020-01-29 05:00:00+00:00,473.39,480.046,470.45,471.67,1852665.0,30370.0,475.688445
SHOP,2020-01-30 05:00:00+00:00,470.5,478.15,464.6601,476.88,1518766.0,26152.0,472.400803
SHOP,2020-01-31 05:00:00+00:00,480.58,482.8697,463.02,465.66,2195012.0,37787.0,470.481069
SHOP,2020-02-03 05:00:00+00:00,468.25,474.88,457.25,469.39,1861270.0,31067.0,465.257356
SHOP,2020-02-04 05:00:00+00:00,476.41,487.68,471.791,485.46,1787881.0,31497.0,482.262531
SHOP,2020-02-05 05:00:00+00:00,495.0,495.0,467.9584,475.56,2143197.0,35283.0,476.360309
SHOP,2020-02-06 05:00:00+00:00,473.16,475.73,462.5,472.98,1680563.0,29833.0,469.920382
SHOP,2020-02-07 05:00:00+00:00,472.0,481.7295,466.78,478.69,1201377.0,21245.0,477.584609
SHOP,2020-02-10 05:00:00+00:00,479.11,491.6925,476.53,491.69,1885368.0,29904.0,486.890155
SHOP,2020-02-11 05:00:00+00:00,494.07,499.88,489.11,492.75,2708081.0,43101.0,495.561929
SHOP,2020-02-12 05:00:00+00:00,568.9,593.89,529.0,531.25,9836081.0,162003.0,553.816162
SHOP,2020-02-13 05:00:00+00:00,533.01,554.78,530.707,532.97,4555425.0,77604.0,541.54926
SHOP,2020-02-14 05:00:00+00:00,540.9,542.1999,523.33,531.22,2218313.0,43345.0,533.435933
SHOP,2020-02-18 05:00:00+00:00,534.0,548.88,532.0,536.41,2563857.0,44389.0,540.059059
SHOP,2020-02-19 05:00:00+00:00,544.05,549.6845,538.64,543.21,1800867.0,33651.0,544.455616
SHOP,2020-02-20 05:00:00+00:00,542.0,547.185,507.4,535.58,2482269.0,47877.0,531.708617
SHOP,2020-02-21 05:00:00+00:00,531.24,534.6,511.61,520.66,1935389.0,40631.0,519.488843
SHOP,2020-02-24 05:00:00+00:00,482.0,504.045,476.0,490.96,3304433.0,62132.0,491.246421
SHOP,2020-02-25 05:00:00+00:00,500.0,502.43,456.46,466.46,3429648.0,65993.0,474.109379
SHOP,2020-02-26 05:00:00+00:00,459.25,484.0,459.04,471.18,2552269.0,50980.0,472.777197
SHOP,2020-02-27 05:00:00+00:00,452.28,467.9328,427.935,438.37,3729992.0,67216.0,449.692424
SHOP,2020-02-28 05:00:00+00:00,422.635,463.31,420.5003,463.31,3473870.0,66533.0,444.712696
SHOP,2020-03-02 05:00:00+00:00,483.2,488.75,461.5964,488.4,3274054.0,59591.0,477.840556
SHOP,2020-03-03 05:00:00+00:00,501.48,503.0,467.52,476.94,3171374.0,56170.0,488.043246
SHOP,2020-03-04 05:00:00+00:00,489.0,514.0,486.0,512.23,2708305.0,48408.0,497.317212
