symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHOP,2025-01-02 05:00:00+00:00,107.5,108.32,104.91,107.53,4437938.0,53904.0,106.931626
SHOP,2025-01-03 05:00:00+00:00,108.87,109.69,107.54,109.25,2961632.0,41925.0,108.695461
SHOP,2025-01-06 05:00:00+00:00,112.24,114.29,111.5,114.24,7073807.0,84344.0,113.272229
SHOP,2025-01-07 05:00:00+00:00,114.9,115.3699,106.08,106.78,6152196.0,78482.0,109.034097
SHOP,2025-01-08 05:00:00+00:00,106.48,108.03,105.02,107.64,5185504.0,64212.0,106.506094
SHOP,2025-01-10 05:00:00+00:00,103.94,104.495,99.7906,103.71,8971655.0,101597.0,102.412704
SHOP,2025-01-13 05:00:00+00:00,101.0,102.1401,99.05,101.76,8081430.0,89867.0,100.45644
SHOP,2025-01-14 05:00:00+00:00,103.11,103.36,100.75,101.61,5096700.0,63967.0,101.8679
SHOP,2025-01-15 05:00:00+00:00,104.49,104.83,102.831,104.24,6234944.0,73021.0,103.946576
SHOP,2025-01-16 05:00:00+00:00,104.39,105.62,103.135,103.5,4105903.0,48754.0,104.245111
SHOP,2025-01-17 05:00:00+00:00,105.5,105.8,103.04,103.35,5583556.0,60163.0,104.270729
SHOP,2025-01-21 05:00:00+00:00,104.14,106.83,103.8,106.28,5068855.0,57853.0,105.901693
SHOP,2025-01-22 05:00:00+00:00,107.34,107.79,105.75,106.37,3426758.0,46861.0,106.671469
SHOP,2025-01-23 05:00:00+00:00,106.06,106.4794,105.04,106.1,4358492.0,54182.0,105.880523
SHOP,2025-01-24 05:00:00+00:00,106.45,109.39,106.16,107.68,5950491.0,58430.0,107.969195
SHOP,2025-01-27 05:00:00+00:00,104.45,108.39,102.52,107.38,5333133.0,66561.0,106.549447
SHOP,2025-01-28 05:00:00+00:00,109.0,117.94,109.0,117.45,13963906.0,140668.0,115.673462
SHOP,2025-01-29 05:00:00+00:00,116.7,118.4,114.77,116.59,9269327.0,92206.0,116.402163
SHOP,2025-01-30 05:00:00+00:00,116.59,119.83,115.8,119.18,6284668.0,71639.0,118.691539
SHOP,2025-01-31 05:00:00+00:00,119.61,122.0,116.54,116.8,7756296.0,84108.0,119.596074
